Empfaenger;Empfaenger_Strasse;Empfaenger_PLZ;Empfaenger_Ort;Paletten;VP;Liefertermin;LieferzeitVon;LieferzeitBis;Abholtermin;Inhalt;Packzettelnummer;Gewicht;Lieferschein;Telefon;EMail;Bemerkung;Transportart;Lieferhinweis;Avisieren;Absender;Absender_Strasse;Absender_PLZ;Absender_Ort;Entladehilfe;Bestellnummer
INTERPARES-MOBAU Zentrallager Süd GmbH & Co. KG;Im Ochsenstall 8;76689;Karlsdorf-Neuthard;1;FP;;;;03.06.2024;Hellgrauer Graniteinkehrsand 0,1-2 mm;230003;1035.00;130899;;torsten_kroebel@zlsd.i-m.de;Ware darf abgestellt werden;31;Warenannahme: Montag - Donnerstag:  7:00 - 16:00 Uhr Freitags:                       7:00 - 15:00 Uhr Zeitfenster - Buchung über die Internetplattform Mercareon erforderlich ! Kontakt: 0731 / 403883 - 50 bzw.  asm@mercareon.com;0;GSH Naturstein Großhandel;Mittelesch 4;49849;Wilsum;0;1122349
INTERPARES-MOBAU Zentrallager Süd GmbH & Co. KG;Im Ochsenstall 8;76689;Karlsdorf-Neuthard;1;FP;;;;03.06.2024;Hellgrauer Graniteinkehrsand 0,1-2 mm;230004;1035.00;130899;;torsten_kroebel@zlsd.i-m.de;Ware darf abgestellt werden;31;Warenannahme: Montag - Donnerstag:  7:00 - 16:00 Uhr Freitags:                       7:00 - 15:00 Uhr Zeitfenster - Buchung über die Internetplattform Mercareon erforderlich ! Kontakt: 0731 / 403883 - 50 bzw.  asm@mercareon.com;0;GSH Naturstein Großhandel;Mittelesch 4;49849;Wilsum;0;1122349
INTERPARES-MOBAU Zentrallager Süd GmbH & Co. KG;Im Ochsenstall 8;76689;Karlsdorf-Neuthard;0;EP;;;;03.06.2024;Kristall Gelb getrommelt, 20-50;230006;140.00;130899;;torsten_kroebel@zlsd.i-m.de;Ware darf abgestellt werden;31;Warenannahme: Montag - Donnerstag:  7:00 - 16:00 Uhr Freitags:                       7:00 - 15:00 Uhr Zeitfenster - Buchung über die Internetplattform Mercareon erforderlich ! Kontakt: 0731 / 403883 - 50 bzw.  asm@mercareon.com;0;GSH Naturstein Großhandel;Mittelesch 4;49849;Wilsum;0;1122349
INTERPARES-MOBAU Zentrallager Süd GmbH & Co. KG;Im Ochsenstall 8;76689;Karlsdorf-Neuthard;0;EP;;;;03.06.2024;Pfeffer & Salz, 8-16;230012;20.00;130899;;torsten_kroebel@zlsd.i-m.de;Ware darf abgestellt werden;31;Warenannahme: Montag - Donnerstag:  7:00 - 16:00 Uhr Freitags:                       7:00 - 15:00 Uhr Zeitfenster - Buchung über die Internetplattform Mercareon erforderlich ! Kontakt: 0731 / 403883 - 50 bzw.  asm@mercareon.com;0;GSH Naturstein Großhandel;Mittelesch 4;49849;Wilsum;0;1122349
INTERPARES-MOBAU Zentrallager Süd GmbH & Co. KG;Im Ochsenstall 8;76689;Karlsdorf-Neuthard;0;EP;;;;03.06.2024;Donaukies, 16-32;230009;60.00;130899;;torsten_kroebel@zlsd.i-m.de;Ware darf abgestellt werden;31;Warenannahme: Montag - Donnerstag:  7:00 - 16:00 Uhr Freitags:                       7:00 - 15:00 Uhr Zeitfenster - Buchung über die Internetplattform Mercareon erforderlich ! Kontakt: 0731 / 403883 - 50 bzw.  asm@mercareon.com;0;GSH Naturstein Großhandel;Mittelesch 4;49849;Wilsum;0;1122349
INTERPARES-MOBAU Zentrallager Süd GmbH & Co. KG;Im Ochsenstall 8;76689;Karlsdorf-Neuthard;1;EP;;;;03.06.2024;Nero Quarzit SS, 32-56;229996;575.00;130899;;torsten_kroebel@zlsd.i-m.de;Ware darf abgestellt werden;31;Warenannahme: Montag - Donnerstag:  7:00 - 16:00 Uhr Freitags:                       7:00 - 15:00 Uhr Zeitfenster - Buchung über die Internetplattform Mercareon erforderlich ! Kontakt: 0731 / 403883 - 50 bzw.  asm@mercareon.com;0;GSH Naturstein Großhandel;Mittelesch 4;49849;Wilsum;0;1122349
INTERPARES-MOBAU Zentrallager Süd GmbH & Co. KG;Im Ochsenstall 8;76689;Karlsdorf-Neuthard;1;FP;;;;03.06.2024;Jura Splitt, 11-16;229978;1275.00;130899;;torsten_kroebel@zlsd.i-m.de;Ware darf abgestellt werden;31;Warenannahme: Montag - Donnerstag:  7:00 - 16:00 Uhr Freitags:                       7:00 - 15:00 Uhr Zeitfenster - Buchung über die Internetplattform Mercareon erforderlich ! Kontakt: 0731 / 403883 - 50 bzw.  asm@mercareon.com;0;GSH Naturstein Großhandel;Mittelesch 4;49849;Wilsum;0;1122349
INTERPARES-MOBAU Zentrallager Süd GmbH & Co. KG;Im Ochsenstall 8;76689;Karlsdorf-Neuthard;1;FP;;;;03.06.2024;Jura Splitt, 11-16;229979;1275.00;130899;;torsten_kroebel@zlsd.i-m.de;Ware darf abgestellt werden;31;Warenannahme: Montag - Donnerstag:  7:00 - 16:00 Uhr Freitags:                       7:00 - 15:00 Uhr Zeitfenster - Buchung über die Internetplattform Mercareon erforderlich ! Kontakt: 0731 / 403883 - 50 bzw.  asm@mercareon.com;0;GSH Naturstein Großhandel;Mittelesch 4;49849;Wilsum;0;1122349
INTERPARES-MOBAU Zentrallager Süd GmbH & Co. KG;Im Ochsenstall 8;76689;Karlsdorf-Neuthard;1;FP;;;;03.06.2024;Jura Splitt, 11-16;229983;1275.00;130899;;torsten_kroebel@zlsd.i-m.de;Ware darf abgestellt werden;31;Warenannahme: Montag - Donnerstag:  7:00 - 16:00 Uhr Freitags:                       7:00 - 15:00 Uhr Zeitfenster - Buchung über die Internetplattform Mercareon erforderlich ! Kontakt: 0731 / 403883 - 50 bzw.  asm@mercareon.com;0;GSH Naturstein Großhandel;Mittelesch 4;49849;Wilsum;0;1122349
INTERPARES-MOBAU Zentrallager Süd GmbH & Co. KG;Im Ochsenstall 8;76689;Karlsdorf-Neuthard;1;EP;;;;03.06.2024;Taunuskies, 8-16;230001;1075.00;130899;;torsten_kroebel@zlsd.i-m.de;Ware darf abgestellt werden;31;Warenannahme: Montag - Donnerstag:  7:00 - 16:00 Uhr Freitags:                       7:00 - 15:00 Uhr Zeitfenster - Buchung über die Internetplattform Mercareon erforderlich ! Kontakt: 0731 / 403883 - 50 bzw.  asm@mercareon.com;0;GSH Naturstein Großhandel;Mittelesch 4;49849;Wilsum;0;1122349
